UniProtId	Type	Annotations
Q8K441	Multi-pass membrane protein	ECO:0000305
Q8WWZ4	Multi-pass membrane protein	ECO:0000305
Q86UQ4	Multi-pass membrane protein	ECO:0000305
Q9CXJ4	Multi-pass membrane protein	ECO:0000305
Q9JI39	Multi-pass membrane protein	None
O95342	Multi-pass membrane protein	None
Q96J66	Multi-pass membrane protein	ECO:0000269|PubMed:19383836, ECO:0000269|PubMed:25896536
P33897	Multi-pass membrane protein	None
Q91X60	Multi-pass membrane protein	ECO:0000250
Q8R4G9	Multi-pass membrane protein	ECO:0000250
P36544	Multi-pass membrane protein	None
P17787	Multi-pass membrane protein	None
P11229	Multi-pass membrane protein	None
Q9ERZ4	Multi-pass membrane protein	ECO:0000250
Q9ERZ3	Multi-pass membrane protein	ECO:0000250
P08173	Multi-pass membrane protein	None
Q9CZW4	Single-pass membrane protein	ECO:0000250
Q8JZR0	Single-pass membrane protein	ECO:0000250
Q9UKU0	Single-pass membrane protein	ECO:0000250
Q8K348	Single-pass membrane protein	ECO:0000250
Q61288	Single-pass membrane protein	ECO:0000250|UniProtKB:P37023
P18825	Multi-pass membrane protein	None
Q8K410	Single-pass membrane protein	ECO:0000305
Q61072	Single-pass membrane protein	ECO:0000269|PubMed:25795784, ECO:0000305
Q80V03	Single-pass membrane protein	ECO:0000305
P97490	Multi-pass membrane protein	None
P04439	Single-pass membrane protein	None
P13746	Single-pass membrane protein	None
P18462	Single-pass membrane protein	None
P16188	Single-pass membrane protein	None
P30457	Single-pass membrane protein	None
P10316	Single-pass membrane protein	None
Q09160	Single-pass membrane protein	None
P30460	Single-pass membrane protein	None
P30685	Single-pass membrane protein	None
P08195	Single-pass membrane protein	ECO:0000250
P28222	Multi-pass membrane protein	ECO:0000269|PubMed:10452531, ECO:0000269|PubMed:1315531, ECO:0000269|PubMed:1328844, ECO:0000269|PubMed:1348246, ECO:0000269|PubMed:1351684, ECO:0000269|PubMed:1559993, ECO:0000269|PubMed:1565658, ECO:0000269|PubMed:1610347, ECO:0000269|PubMed:23519210, ECO:0000269|PubMed:23519215
P28221	Multi-pass membrane protein	ECO:0000269|PubMed:10452531, ECO:0000269|PubMed:1565658, ECO:0000269|PubMed:1652050
P35363	Multi-pass membrane protein	ECO:0000269|PubMed:21645528
O95264	Multi-pass membrane protein	ECO:0000269|PubMed:21138434
P31387	Multi-pass membrane protein	None
P56379	Single-pass membrane protein	ECO:0000250
Q8K442	Multi-pass membrane protein	ECO:0000250
P41234	Multi-pass membrane protein	ECO:0000250
Q8IZY2	Multi-pass membrane protein	ECO:0000269|PubMed:12917409, ECO:0000269|PubMed:14592415
Q8K449	Multi-pass membrane protein	ECO:0000305
B5X0E4	Multi-pass membrane protein	ECO:0000269|PubMed:25030174
Q9NP58	Multi-pass membrane protein	ECO:0000269|PubMed:17661442, ECO:0000269|PubMed:23180570
Q9NP78	Multi-pass membrane protein	ECO:0000269|PubMed:10748049, ECO:0000269|PubMed:15577206, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:17977821, ECO:0000269|PubMed:18175933, ECO:0000269|PubMed:18952056, ECO:0000269|PubMed:20377823, ECO:0000269|PubMed:21212514
O60706	Multi-pass membrane protein	ECO:0000255|PROSITE-ProRule:PRU00441
Q9UBJ2	Multi-pass membrane protein	None
P45844	Multi-pass membrane protein	ECO:0000269|PubMed:22042635
Q7TMS5	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q9UNQ0
Q99PE8	Multi-pass membrane protein	ECO:0000305
Q9QZC8	Single-pass membrane protein	ECO:0000305
Q7L211	Single-pass membrane protein	ECO:0000305
O00590	Multi-pass membrane protein	None
O95573	Single-pass membrane protein	ECO:0000250
Q9QUJ7	Single-pass membrane protein	ECO:0000250
Q60614	Multi-pass membrane protein	None
O14678	Multi-pass membrane protein	None
Q64343	Multi-pass membrane protein	ECO:0000305
Q9H222	Multi-pass membrane protein	ECO:0000305
Q8N2K0	Single-pass membrane protein	ECO:0000250|UniProtKB:Q99LR1
P11230	Multi-pass membrane protein	None
P02716	Multi-pass membrane protein	None
P33121	Single-pass membrane protein	ECO:0000250
Q91WC3	Single-pass membrane protein	ECO:0000250
Q9R1V4	Single-pass membrane protein	None
Q13444	Single-pass membrane protein	ECO:0000269|PubMed:12243749
P78536	Single-pass membrane protein	None
P97718	Multi-pass membrane protein	ECO:0000269|PubMed:22120526
P25100	Multi-pass membrane protein	None
O43506	Single-pass membrane protein	None
Q9JI76	Single-pass membrane protein	None
Q9R1V6	Single-pass membrane protein	ECO:0000269|PubMed:20089912
P30462	Single-pass membrane protein	None
P30466	Single-pass membrane protein	None
Q04826	Single-pass membrane protein	None
P30480	Single-pass membrane protein	None
P30484	Single-pass membrane protein	None
P30487	Single-pass membrane protein	None
P18464	Single-pass membrane protein	None
P30495	Single-pass membrane protein	None
P30498	Single-pass membrane protein	None
Q29718	Single-pass membrane protein	None
P30501	Single-pass membrane protein	None
P30504	Single-pass membrane protein	None
P14060	Single-pass membrane protein	None
P26439	Single-pass membrane protein	None
P10852	Single-pass membrane protein	ECO:0000250
Q13639	Multi-pass membrane protein	ECO:0000250
Q99758	Multi-pass membrane protein	ECO:0000305
Q8WWZ7	Multi-pass membrane protein	ECO:0000250
Q8N139	Multi-pass membrane protein	ECO:0000305
Q91V24	Multi-pass membrane protein	ECO:0000269|PubMed:12917409
Q8IUA7	Multi-pass membrane protein	ECO:0000305
Q86UK0	Multi-pass membrane protein	ECO:0000305
E9PX95	Multi-pass membrane protein	ECO:0000269|PubMed:15810880
Q2M3G0	Multi-pass membrane protein	ECO:0000269|PubMed:12960149
Q9DC29	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q9NP58
Q61102	Multi-pass membrane protein	ECO:0000305
Q9NUT2	Multi-pass membrane protein	ECO:0000269|PubMed:16259955
Q9JJ59	Multi-pass membrane protein	ECO:0000250
P55096	Multi-pass membrane protein	None
Q9H172	Multi-pass membrane protein	ECO:0000305
Q9QXM0	Single-pass membrane protein	ECO:0000250|UniProtKB:P08910
Q8R2Y0	Single-pass membrane protein	ECO:0000269|PubMed:18096503
O95870	Multi-pass membrane protein	ECO:0000305
Q9BYF1	Single-pass membrane protein	ECO:0000250
Q9UGM1	Multi-pass membrane protein	ECO:0000305
Q05901	Multi-pass membrane protein	None
P25106	Multi-pass membrane protein	ECO:0000250
P01912	Single-pass membrane protein	ECO:0000269|PubMed:18305173
P13760	Single-pass membrane protein	ECO:0000269|PubMed:18305173
P01911	Single-pass membrane protein	ECO:0000269|PubMed:18305173
P26149	Single-pass membrane protein	None
A5X5Y0	Multi-pass membrane protein	ECO:0000269|PubMed:17392525, ECO:0000269|PubMed:19012743
P30966	Multi-pass membrane protein	None
P97288	Multi-pass membrane protein	None
Q9H221	Multi-pass membrane protein	ECO:0000305
Q96SE0	Single-pass membrane protein	ECO:0000305
P08910	Single-pass membrane protein	ECO:0000305|PubMed:26989199
Q9BV23	Single-pass membrane protein	ECO:0000250|UniProtKB:Q8R2Y0
Q8R4X1	Multi-pass membrane protein	ECO:0000269|PubMed:12783875
Q8VD53	Multi-pass membrane protein	ECO:0000250
P02708	Multi-pass membrane protein	None
P30926	Multi-pass membrane protein	None
P20782	Multi-pass membrane protein	None
Q16570	Multi-pass membrane protein	None
P26150	Single-pass membrane protein	None
Q61694	Single-pass membrane protein	None
Q9EQC1	Multi-pass membrane protein	None
Q02152	Multi-pass membrane protein	ECO:0000269|PubMed:1426253
P23979	Multi-pass membrane protein	None
Q9R1C8	Multi-pass membrane protein	None
P32304	Multi-pass membrane protein	None
P56378	Single-pass membrane protein	ECO:0000250
Q67BJ4	Single-pass membrane protein	ECO:0000250
Q14BT6	Single-pass membrane protein	ECO:0000305
P29274	Multi-pass membrane protein	None
Q15758	Multi-pass membrane protein	ECO:0000269|PubMed:8702519
Q99J27	Multi-pass membrane protein	ECO:0000305
Q5T8D3	Single-pass membrane protein	ECO:0000250
Q9NUN7	Multi-pass membrane protein	None
Q15822	Multi-pass membrane protein	None
P43681	Multi-pass membrane protein	ECO:0000250
P04756	Multi-pass membrane protein	None
Q9ERK7	Multi-pass membrane protein	None
P01892	Single-pass membrane protein	None
P03989	Single-pass membrane protein	None
P13761	Single-pass membrane protein	ECO:0000269|PubMed:18305173
Q9TQE0	Single-pass membrane protein	ECO:0000269|PubMed:18305173
P20039	Single-pass membrane protein	ECO:0000269|PubMed:18305173
Q61767	Single-pass membrane protein	None
O35469	Single-pass membrane protein	None
Q70Z44	Multi-pass membrane protein	ECO:0000269|PubMed:17392525
P47898	Multi-pass membrane protein	None
P50406	Multi-pass membrane protein	None
Q3V1N9	Single-pass membrane protein	ECO:0000250|UniProtKB:A0A4Z3
Q61618	Multi-pass membrane protein	None
P63115	Multi-pass membrane protein	ECO:0000305
P22760	Single-pass membrane protein	None
O95477	Multi-pass membrane protein	ECO:0000269|PubMed:19258317, ECO:0000269|PubMed:19556522
P78363	Multi-pass membrane protein	ECO:0000269|PubMed:10075733
O94911	Multi-pass membrane protein	ECO:0000305
Q5SSE9	Multi-pass membrane protein	ECO:0000305
O75027	Multi-pass membrane protein	ECO:0000305
Q09428	Multi-pass membrane protein	ECO:0000269|PubMed:24814349
Q9NSE7	Multi-pass membrane protein	ECO:0000255|PROSITE-ProRule:PRU00441
P48410	Multi-pass membrane protein	None
O89016	Multi-pass membrane protein	None
Q9BUJ0	Single-pass membrane protein	ECO:0000250
P16189	Single-pass membrane protein	None
P30456	Single-pass membrane protein	None
P30459	Single-pass membrane protein	None
P18463	Single-pass membrane protein	None
P30483	Single-pass membrane protein	None
P30485	Single-pass membrane protein	None
P30486	Single-pass membrane protein	None
P30491	Single-pass membrane protein	None
Q29940	Single-pass membrane protein	None
Q31612	Single-pass membrane protein	None
Q31610	Single-pass membrane protein	None
P30499	Single-pass membrane protein	None
Q9TNN7	Single-pass membrane protein	None
P30508	Single-pass membrane protein	None
Q29865	Single-pass membrane protein	None
Q5Y7A7	Single-pass membrane protein	ECO:0000269|PubMed:18305173
Q29974	Single-pass membrane protein	ECO:0000269|PubMed:18305173
Q9H2F3	Multi-pass membrane protein	None
Q64264	Multi-pass membrane protein	ECO:0000269|PubMed:8254366
P28566	Multi-pass membrane protein	ECO:0000269|PubMed:14744596, ECO:0000269|PubMed:1513320, ECO:0000269|PubMed:1608964, ECO:0000269|PubMed:1733778, ECO:0000269|PubMed:21422162
P28223	Multi-pass membrane protein	ECO:0000269|PubMed:28129538
Q9JHJ5	Multi-pass membrane protein	ECO:0000250
U3KPV4	Single-pass membrane protein	ECO:0000250|UniProtKB:A0A4Z3
P30542	Multi-pass membrane protein	ECO:0000269|PubMed:27134041
Q60613	Multi-pass membrane protein	None
P0DMS8	Multi-pass membrane protein	None
Q9NS82	Multi-pass membrane protein	ECO:0000305
P41233	Multi-pass membrane protein	ECO:0000305
Q9NRK6	Multi-pass membrane protein	None
Q9QY30	Multi-pass membrane protein	None
P70170	Multi-pass membrane protein	ECO:0000255|PROSITE-ProRule:PRU00441
Q61285	Multi-pass membrane protein	ECO:0000250
P30447	Single-pass membrane protein	None
P30450	Single-pass membrane protein	None
P10314	Single-pass membrane protein	None
P30455	Single-pass membrane protein	None
P30461	Single-pass membrane protein	None
P30464	Single-pass membrane protein	None
P30475	Single-pass membrane protein	None
P30479	Single-pass membrane protein	None
P30481	Single-pass membrane protein	None
P30488	Single-pass membrane protein	None
P30490	Single-pass membrane protein	None
P30493	Single-pass membrane protein	None
P18465	Single-pass membrane protein	None
Q29836	Single-pass membrane protein	None
P10319	Single-pass membrane protein	None
P04222	Single-pass membrane protein	None
Q29963	Single-pass membrane protein	None
P30505	Single-pass membrane protein	None
Q07000	Single-pass membrane protein	None
Q95604	Single-pass membrane protein	None
P46098	Multi-pass membrane protein	None
Q9UNA3	Single-pass membrane protein	ECO:0000305
Q60612	Multi-pass membrane protein	None
Q99PG0	Single-pass membrane protein	ECO:0000269|PubMed:19654421
P51912	Multi-pass membrane protein	ECO:0000269|PubMed:7702599, ECO:0000269|PubMed:8662767
P28288	Multi-pass membrane protein	ECO:0000269|PubMed:10704444
Q80UX8	Single-pass membrane protein	ECO:0000305
Q5XG73	Single-pass membrane protein	ECO:0000269|PubMed:17768142
P30443	Single-pass membrane protein	None
Q95365	Single-pass membrane protein	None
P30492	Single-pass membrane protein	None
P10321	Single-pass membrane protein	None
P30510	Single-pass membrane protein	None
Q29960	Single-pass membrane protein	None
P04229	Single-pass membrane protein	ECO:0000269|PubMed:18305173
Q30167	Single-pass membrane protein	ECO:0000269|PubMed:18305173
Q9GIY3	Single-pass membrane protein	ECO:0000269|PubMed:18305173
P08908	Multi-pass membrane protein	ECO:0000269|PubMed:22957663, ECO:0000269|PubMed:3041227, ECO:0000269|PubMed:3138543, ECO:0000269|PubMed:8393041
P30939	Multi-pass membrane protein	ECO:0000269|PubMed:8380639, ECO:0000269|PubMed:8384716
P28335	Multi-pass membrane protein	ECO:0000269|PubMed:12970106, ECO:0000269|PubMed:18703043, ECO:0000269|PubMed:19057895, ECO:0000269|PubMed:7895773
P34969	Multi-pass membrane protein	None
Q9NPC4	Single-pass membrane protein	ECO:0000305
Q99P81	Multi-pass membrane protein	ECO:0000305
Q99LR1	Single-pass membrane protein	ECO:0000269|PubMed:18096503
Q9Z1Q2	Multi-pass membrane protein	ECO:0000305
O00400	Multi-pass membrane protein	ECO:0000305|PubMed:9096318
D0G895	Multi-pass membrane protein	ECO:0000269|PubMed:20421979
P09470	Single-pass membrane protein	ECO:0000250
Q8R493	Multi-pass membrane protein	ECO:0000250
Q04844	Multi-pass membrane protein	None
P04760	Multi-pass membrane protein	None
Q64326	Multi-pass membrane protein	None
P37023	Single-pass membrane protein	ECO:0000269|PubMed:26176610
Q3V132	Multi-pass membrane protein	ECO:0000250
Q5I7T1	Multi-pass membrane protein	ECO:0000250|UniProtKB:O88788
Q96PE1	Multi-pass membrane protein	ECO:0000269|PubMed:16982628, ECO:0000269|PubMed:21421844, ECO:0000269|PubMed:22013897
P05534	Single-pass membrane protein	None
P30512	Single-pass membrane protein	None
P16190	Single-pass membrane protein	None
P30453	Single-pass membrane protein	None
P01891	Single-pass membrane protein	None
P01889	Single-pass membrane protein	None
Q95IE3	Single-pass membrane protein	ECO:0000269|PubMed:18305173
P28334	Multi-pass membrane protein	ECO:0000269|PubMed:1557407
Q61224	Multi-pass membrane protein	None
Q02284	Multi-pass membrane protein	ECO:0000269|PubMed:1328180
P41595	Multi-pass membrane protein	ECO:0000269|PubMed:12970106, ECO:0000269|PubMed:23519210, ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:28129538, ECO:0000269|PubMed:7926008, ECO:0000269|PubMed:8078486, ECO:0000269|PubMed:8143856
Q9UNQ0	Multi-pass membrane protein	ECO:0000269|PubMed:15001581, ECO:0000269|PubMed:15769853, ECO:0000269|PubMed:15807535
Q91ZH7	Single-pass membrane protein	ECO:0000305
P32211	Multi-pass membrane protein	None
Q920H4	Multi-pass membrane protein	None
P13516	Multi-pass membrane protein	ECO:0000269|PubMed:16275639, ECO:0000305|PubMed:16443825
Q9R158	Single-pass membrane protein	None
Q9R157	Single-pass membrane protein	None
P97717	Multi-pass membrane protein	ECO:0000269|PubMed:22120526
Q9UKJ8	Single-pass membrane protein	None
O75077	Single-pass membrane protein	ECO:0000305
Q9R160	Single-pass membrane protein	None
Q811Q4	Single-pass membrane protein	ECO:0000250
P08913	Multi-pass membrane protein	ECO:0000269|PubMed:23105096
Q01337	Multi-pass membrane protein	None
Q99965	Single-pass membrane protein	None
Q3TTE0	Single-pass membrane protein	ECO:0000305
P78325	Single-pass membrane protein	None
A2A7Z8	Multi-pass membrane protein	ECO:0000305
Q8R400	Single-pass membrane protein	ECO:0000255
Q8TDN7	Multi-pass membrane protein	ECO:0000250
Q5QJU3	Multi-pass membrane protein	ECO:0000269|PubMed:16940153, ECO:0000269|PubMed:20089856
P12821	Single-pass membrane protein	ECO:0000250
Q9GZZ6	Multi-pass membrane protein	ECO:0000305
P32297	Multi-pass membrane protein	None
O70174	Multi-pass membrane protein	ECO:0000250
Q2MKA5	Multi-pass membrane protein	ECO:0000250
Q15825	Multi-pass membrane protein	None
P49582	Multi-pass membrane protein	None
Q8BMN3	Multi-pass membrane protein	None
O08707	Multi-pass membrane protein	ECO:0000250
P56485	Multi-pass membrane protein	ECO:0000269|PubMed:21220100
P13011	Multi-pass membrane protein	ECO:0000305|PubMed:16443825
P41216	Single-pass membrane protein	ECO:0000250
O35598	Single-pass membrane protein	ECO:0000269|PubMed:26668317
O75078	Single-pass membrane protein	None
Q61824	Single-pass membrane protein	None
Q9Y3Q7	Single-pass membrane protein	None
O35674	Single-pass membrane protein	None
Q60718	Single-pass membrane protein	None
Q8BM81	Single-pass membrane protein	ECO:0000305
P51829	Multi-pass membrane protein	None
Q86V24	Multi-pass membrane protein	ECO:0000269|PubMed:12802337, ECO:0000269|PubMed:25855295
Q30134	Single-pass membrane protein	ECO:0000269|PubMed:18305173
P24815	Single-pass membrane protein	None
Q8WXA8	Multi-pass membrane protein	ECO:0000269|PubMed:17392525
Q9DBM0	Multi-pass membrane protein	ECO:0000305
Q8WU67	Single-pass membrane protein	ECO:0000305
Q922Q6	Single-pass membrane protein	ECO:0000269|PubMed:14667578
P30532	Multi-pass membrane protein	None
Q9R0W9	Multi-pass membrane protein	ECO:0000250
P09690	Multi-pass membrane protein	None
Q07001	Multi-pass membrane protein	None
P07510	Multi-pass membrane protein	None
Q924I3	Multi-pass membrane protein	ECO:0000250
P08172	Multi-pass membrane protein	ECO:0000250
P08912	Multi-pass membrane protein	None
Q9Z0F8	Single-pass membrane protein	None
P35368	Multi-pass membrane protein	ECO:0000269|PubMed:24567387
P97714	Multi-pass membrane protein	None
Q9R1V7	Single-pass membrane protein	ECO:0000305
Q9UKQ2	Single-pass membrane protein	None
Q9UKF5	Single-pass membrane protein	None
Q8TC27	Single-pass membrane protein	ECO:0000305
O35227	Single-pass membrane protein	None
Q05910	Single-pass membrane protein	None
Q96IZ2	Multi-pass membrane protein	ECO:0000269|PubMed:21868574
Q8R0I0	Single-pass membrane protein	ECO:0000250
Q9D099	Multi-pass membrane protein	ECO:0000250
Q9QUI6	Multi-pass membrane protein	ECO:0000250
Q9NPB9	Multi-pass membrane protein	ECO:0000269|PubMed:23341447
O00767	Multi-pass membrane protein	ECO:0000269|PubMed:15907797
P36896	Single-pass membrane protein	ECO:0000250
Q9UKF2	Single-pass membrane protein	ECO:0000269|PubMed:27333034
Q923W9	Single-pass membrane protein	None
Q9H2U9	Single-pass membrane protein	None
Q13443	Single-pass membrane protein	ECO:0000269|PubMed:8647900
Q7Z695	Single-pass membrane protein	ECO:0000305
Q91VH1	Multi-pass membrane protein	ECO:0000269|PubMed:17268472
P07550	Multi-pass membrane protein	ECO:0000269|PubMed:19584355, ECO:0000269|PubMed:20559325, ECO:0000269|PubMed:25220262, ECO:0000269|PubMed:2831218, ECO:0000269|PubMed:7915137
P51881	Multi-pass membrane protein	None
P12236	Multi-pass membrane protein	ECO:0000250
Q6UXC1	Single-pass membrane protein	ECO:0000250
Q8C4G9	Multi-pass membrane protein	ECO:0000255
Q8IWK6	Multi-pass membrane protein	ECO:0000250|UniProtKB:S4X0Q8
P12657	Multi-pass membrane protein	None
P20309	Multi-pass membrane protein	None
O60488	Single-pass membrane protein	ECO:0000250
Q8NER5	Single-pass membrane protein	ECO:0000269|PubMed:12606401
Q04771	Single-pass membrane protein	None
O88444	Multi-pass membrane protein	ECO:0000269|PubMed:9662407
Q8VHH7	Multi-pass membrane protein	ECO:0000305|PubMed:11055432
P84309	Multi-pass membrane protein	ECO:0000250|UniProtKB:P30803
P18762	Multi-pass membrane protein	ECO:0000269|PubMed:2834198
Q8BUE4	Data unknown	ECO:0000250
A2ALI5	Single-pass membrane protein	ECO:0000250
Q5VUY2	Single-pass membrane protein	ECO:0000305
Q08828	Multi-pass membrane protein	ECO:0000250|UniProtKB:P19754
O60266	Multi-pass membrane protein	ECO:0000269|PubMed:11549699
Q91WF3	Multi-pass membrane protein	ECO:0000250|UniProtKB:P26770
O43306	Multi-pass membrane protein	ECO:0000269|PubMed:17110384
P51828	Multi-pass membrane protein	None
O60503	Multi-pass membrane protein	ECO:0000269|PubMed:10987815, ECO:0000269|PubMed:9628827
Q60813	Single-pass membrane protein	ECO:0000305
P08588	Multi-pass membrane protein	ECO:0000250
Q8CGM1	Multi-pass membrane protein	ECO:0000305
Q7Z7M1	Multi-pass membrane protein	ECO:0000255
Q9UHX3	Multi-pass membrane protein	ECO:0000269|PubMed:22310662, ECO:0000269|PubMed:26841242
B7ZCC9	Multi-pass membrane protein	ECO:0000255
Q3V3Z3	Multi-pass membrane protein	ECO:0000269|PubMed:26499266
Q96K78	Multi-pass membrane protein	ECO:0000255
Q9HAR2	Multi-pass membrane protein	ECO:0000269|PubMed:26235030
P29755	Multi-pass membrane protein	None
Q3TAE8	Multi-pass membrane protein	ECO:0000305
Q9BVK2	Multi-pass membrane protein	ECO:0000250
Q9H6U8	Multi-pass membrane protein	ECO:0000305|PubMed:15148656
Q9ULC5	Single-pass membrane protein	ECO:0000250
Q01718	Multi-pass membrane protein	None
P37172	Single-pass membrane protein	None
Q01338	Multi-pass membrane protein	None
Q9BZ11	Single-pass membrane protein	None
Q08462	Multi-pass membrane protein	ECO:0000269|PubMed:15385642
O95622	Multi-pass membrane protein	ECO:0000305|PubMed:15385642, ECO:0000305|PubMed:26206488
P34971	Multi-pass membrane protein	ECO:0000250
P25962	Multi-pass membrane protein	None
P48962	Multi-pass membrane protein	None
Q86SQ6	Multi-pass membrane protein	ECO:0000255
O60242	Multi-pass membrane protein	ECO:0000269|PubMed:21262840, ECO:0000269|PubMed:22333914
O14672	Single-pass membrane protein	ECO:0000269|PubMed:26686862
O43184	Single-pass membrane protein	ECO:0000305
O88839	Single-pass membrane protein	ECO:0000269|PubMed:18390692
Q9H013	Single-pass membrane protein	None
P35348	Multi-pass membrane protein	ECO:0000269|PubMed:24567387
Q9P0K1	Single-pass membrane protein	ECO:0000305
Q9R159	Single-pass membrane protein	None
Q9JLN6	Single-pass membrane protein	None
P18089	Multi-pass membrane protein	ECO:0000269|PubMed:23105096
Q3MIX3	Single-pass membrane protein	ECO:0000305
Q80TL1	Multi-pass membrane protein	ECO:0000250|UniProtKB:P26769
Q8NFM4	Multi-pass membrane protein	ECO:0000269|PubMed:21228062
Q01341	Multi-pass membrane protein	ECO:0000269|PubMed:1379717, ECO:0000269|PubMed:20466003, ECO:0000269|PubMed:21670265
P40145	Multi-pass membrane protein	None
P51830	Multi-pass membrane protein	ECO:0000269|PubMed:8662814
Q9Y4W6	Multi-pass membrane protein	ECO:0000269|PubMed:10395799
P20292	Multi-pass membrane protein	None
P47740	Single-pass membrane protein	ECO:0000250|UniProtKB:P30839
Q3TZM9	Multi-pass membrane protein	ECO:0000250
Q96F25	Single-pass membrane protein	ECO:0000250|UniProtKB:P38242
Q9JHZ2	Multi-pass membrane protein	ECO:0000305
P16066	Single-pass membrane protein	None
Q8C7N7	Multi-pass membrane protein	ECO:0000305
Q06335	Single-pass membrane protein	ECO:0000305
Q96PS8	Multi-pass membrane protein	None
P56402	Multi-pass membrane protein	ECO:0000250
Q92482	Multi-pass membrane protein	None
P55088	Multi-pass membrane protein	None
Q9WTY4	Multi-pass membrane protein	ECO:0000269|PubMed:16571723
O14520	Multi-pass membrane protein	None
P56404	Multi-pass membrane protein	None
O43315	Multi-pass membrane protein	None
Q6UW56	Single-pass membrane protein	ECO:0000269|PubMed:21723284
Q92685	Multi-pass membrane protein	ECO:0000305
P97467	Single-pass membrane protein	ECO:0000250
Q9UKV5	Multi-pass membrane protein	ECO:0000269|PubMed:11724934
Q80ZD9	Single-pass membrane protein	ECO:0000250
Q16671	Single-pass membrane protein	None
Q9NW15	Multi-pass membrane protein	ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:22075693, ECO:0000269|PubMed:22946059
Q9NQ90	Multi-pass membrane protein	ECO:0000269|PubMed:20056604
Q75V66	Multi-pass membrane protein	ECO:0000269|PubMed:15124103
P17342	Single-pass membrane protein	None
Q09PK2	Single-pass membrane protein	ECO:0000255
A6NM10	Multi-pass membrane protein	ECO:0000305
Q6NSR3	Single-pass membrane protein	ECO:0000305
Q91ZV8	Multi-pass membrane protein	ECO:0000269|PubMed:25558062
Q7TT36	Multi-pass membrane protein	ECO:0000250|UniProtKB:S4X0Q8
Q91ZE5	Multi-pass membrane protein	ECO:0000269|PubMed:12023293
Q8IZF7	Multi-pass membrane protein	ECO:0000255
Q8IZF3	Multi-pass membrane protein	ECO:0000255
G5E8Q8	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q9WVT0
Q9Y653	Multi-pass membrane protein	ECO:0000269|PubMed:21349848, ECO:0000269|PubMed:24949629
P35374	Multi-pass membrane protein	ECO:0000269|PubMed:15539617
Q9UKB5	Single-pass membrane protein	None
Q2TAA5	Multi-pass membrane protein	ECO:0000269|PubMed:20080937
Q8VDB2	Multi-pass membrane protein	ECO:0000250
Q921Q3	Single-pass membrane protein	ECO:0000250
